text,author
Sometimes the hardest one to see . . .is the one standing right before you.,Lenora Porch
Head Vs Heart:,
"The thing about learning how to fight is that— some of us are not born with that desire. They say some are born fighters; but they don't usually point out that others just aren't. Some of us are forced by life to take up arms and fight. Many of us are. The art lies in knowing when to wield those arms and when to put them down. I don't think it's a matter of pretending to be ideally unharmed by life and untouched by darkness; because that is hypocrisy. Rather, I think it is a matter of being true to your truth and learning when to fight and learning when to be soft. Hopefully, our soft moments in life will largely outweigh, outrank, and outrun our fighting.",C. JoyBell C.
One woman filled with self love and self acceptance is a model more super than any cover girl.,Amy Leigh Mercree
Your dreams are worth it. Persevere. Your focus is your power. Harness it.,Amy Leigh Mercree
"Forgiving yourself, believing in yourself and choosing to love yourself are the best gifts one could receive.",Brittany Burgunder
Sometimes what seems so right turns out wrong and what seems so wrong turns out right. What do I call this phenomenon? Life.,"Charles F. Glassman, Brain Drain The Breakthrough That Will Change Your Life"
"The storm stops at the door. Love reigns, peace dwells.",Thomas S. Monson
"Well if God wanted a broken spirit out of me, He would get His",wish. At this point in my life the only thing I could do was look up.
"Nobody can go back and start a new beginning, but anyone can start today and make a new ending."" i love it so much","Maria Robinson, From Birth to One"
Hope is holding on to the promises of God.,"Lailah Gifty Akita, The Wings of Hope: Survivor"
"Yes, a person can accept your apology and forgive you for what you've said, but they will never forget how you made them feel at that very moment. Words can stick in a person's mind, heart, and spirit long after the words have been spoken. Don't be in denial; words have GREAT power. Be wise when you speak!",Stephanie Lahart
Light has nowhere to hide in the dark.,Matshona Dhliwayo
"Bring up the past only if it will help to build the future, otherwise its best to be left to sleep",Cllr Tahir Khan - Luton
"Most of all, I'll remind them each morning that we make a choice to bring positivity or negativity into the world, and that within every single person where lies an extraordinary story waiting to unfold.","Adam Braun, The Promise of a Pencil: How an Ordinary Person Can Create Extraordinary Change"
"You may be safe, but I am free.' Take advantage of the freedom that comes with your youth. Inhale life, exhale fire, and embrace the late, sleepless nights, because that's when the magic happens- when everyone else is asleep and you're awake thinking about the world as it is, and the world as it would be. Make the most of those moments,"" I said forcefully. ""And in the coming years people will tell you that you're too young to change the world. I'm here to tell you, that's fucking bullshit.","Adam Braun, The Promise of a Pencil: How an Ordinary Person Can Create Extraordinary Change"
"When something can be read without effort, great effort has gone into its writing.",Enrique Jardiel Poncela
"Whereever you end up;"" Jack whispered into my ear.""I wish you clear skies. Always","Wendy Mass, Every Soul a Star"
"Fiction is written with reality and reality is written with fiction. We can write fiction because there is reality and we can write reality because there is fiction; everything we consider today to be myth and legend, our ancestors believed to be history and everything in our history includes myths and legends. Before the splendid modern-day mind was formed our cultures and civilizations were conceived in the wombs of, and born of, what we identify today as ""fiction, unreality, myth, legend, fantasy, folklore, imaginations, fabrications and tall tales."" And in our suddenly realized glory of all our modern-day ""advancements"" we somehow fail to ask ourselves the question ""Who designated myths and legends as unreality? "" But I ask myself this question because who decided that he was spectacular enough to stand up and say to our ancestors ""You were all stupid and disillusioned and imagining things"" and then why did we all decide to believe this person? There are many realities not just one. There is a truth that goes far beyond what we are told today to believe in. And we find that truth when we are brave enough to break away from what keeps everybody else feeling comfortable. Your reality is what you believe in. And nobody should be able to tell you to believe otherwise.",C. JoyBell C.
"There was an enjoyment to being alive, he felt, that because of an underlying meaninglessness–like how a person alone for too long cannot feel comfortable when with others; cannot neglect that underlying the feeling of belongingness is the certainty, really, of loneliness, and nothingness, and so experiences life in that hurried, worthless way one experiences a mistake–he could no longer get at.","Tao Lin, Eeeee Eee Eeee"
"It dawns on you one day... how precious your life is and how not okay it is for anyone, ever, to cause you any amount of suffering, ever. Then the next time you step out the door you look at everyone and you're thinking, My life is precious and you're not allowed to hurt me.",C. JoyBell C.
"At your absolute best, you still won't be good enough for the wrong person. At your worst, you'll still be worth it to the right person.",Karen Salmansohn
It is not needful for our dreams to be very grand nor very big. It is only needful for our dreams to be very shiny.,C. JoyBell C.
YOU. ARE. PERFECT. You are. Im talking to YOU. and dont you dare think otherwise...embrace the entity of yourself...you are a puzzle piece and you are meant to be puzzling.,Kaiden Blake
"I have found that the only consolation is never regretting anything that you do. Never look back, always look forward and continue moving along with a confidence that everything you're doing and everything you've done is the way it's supposed to be.","Randolph J. Rogers, The Key of Life; A Metaphysical Investigation"
Your hardest times often lead to the greatest moments of your life. Keep going. Tough situations build strong people in the end.,Roy Bennett
Dig deep and empower yourself today. Stand in your inner strength. Be uniquely you.,Amy Leigh Mercree
"Step out of your comfort zone. Comfort zones, where your unrealized dreams are buried, are the enemies of achievement. Leadership begins when you step outside your comfort zone.",Roy T. Bennett
Happiness is a choice. Peace is a state of mind. Both are free!,Amy Leigh Mercree
"New day, new hopes, new life!!",Lailah Gifty Akita
غــِـناك َ فى نفسـِـكَ ، و قيمَتـِك فى عمــَلـِـك ، و بواعثـُك أحرى بالعناية من غاياتك ، و لا تنتظر من الناس كثيرا ً,"عباس محمود العقاد, أنا"
Celebrate true friends. They are a part of you that always sparkles.,Amy Leigh Mercree
"Plus on évolue dans sa vie, plus on se débarrasse des croyances qui","nous limitent, et plus on a de choix. Et le choix, c'est la liberté."
Rewards await you if you stay steadfast in your faith.,"Joel Osteen, It's Your Time: Activate Your Faith, Accomplish Your Dreams, and Increase in God's Favor"
The only thing wrong with trying to please everyone is that there's always at least one person who will remain unhappy. You.,"Elizabeth Parker, Bark Out Loud! Motivational Quotes Inspired by Dogs"
An empowered heart is one filled with self love.,Amy Leigh Mercree
A child's giggle is worth one hundred pounds of gold.,Amy Leigh Mercree
"with faith,discipline and selfless devotion to the duty,there is nothing worthwhile that you cannot achieve.",Quaid-e-Azam Mohammad Ali Jinnah
"When you take the step towards your dreams you will be met with fears because you have never traveled this way before. As you go, you will discover that you had nothing to fear. Through overcoming your fears you give those that follow you hope that if they pursue their dreams, they will achieve their dreams.","E'yen A. Gardner, Detox 21: 21 day cleansing of the soul"
Having the life of your dreams is simple: make conscious choices.,Amy Leigh Mercree
"So long as fortune is favouring you, your defects will remain covered.",Hazrat Ali ibn Abu-Talib
"The way I see it, our natural human instinct is to fight or flee that which we perceive to be dangerous. Although this mechanism evolved to protect us, it serves as the single greatest limiting process to our growth. To put this process in perspective and not let it rule my life, I",expect the unexpected;
As the sun knows; even the sky is not the limit...,Rasheed Ogunlaru
"Tous les hommes sont menteurs, inconstants, faux, bavards, hypocrites, orgueilleux et lâches, méprisables et sensuels ; toutes les femmes sont perfides, artificieuses, vaniteuses, curieuses et dépravées ; le monde n'est qu'un égout sans fond où les phoques les plus informes rampent et se tordent sur des montagnes de fange ; mais il y a au monde une chose sainte et sublime, c'est l'union de deux de ces êtres si imparfaits et si affreux. On est souvent trompé en amour, souvent blessé et souvent malheureux ; mais on aime, et quand on est sur le bord de sa tombe, on se retourne pour regarder en arrière ; et on se dit : "" J'ai souffert souvent, je me suis trompé quelquefois, mais j'ai aimé. C'est moi qui ai vécu, et non pas un être factice créé par mon orgueil et mon ennui.","Alfred de Musset, On ne badine pas avec l'amour"
"To Succeed, you must reach for the stars, and let your imagination find its own path","Tahir Shah, In Arabian Nights: A Caravan of Moroccan Dreams"
"The moment one definitely commits oneself, then Providence moves too. All sorts of things occur to help one that would never otherwise have occurred. A whole stream of events issues from the decision which no man could have dreamed would have come his way. Whatever you can do, or dream you can do, begin it. Boldness has genius, power, and magic in it. Begin it now.",John Anster
"I am not a little bit of many things; but I am the sufficient representation of many things. I am not an incompletion of all these races; but I am a masterpiece of the prolific. I am an entirety, I am not a lack of anything; rather I am a whole of many things. God did not see it needful to make me generic. He thinks I am better than that.",C. JoyBell C.
"One discovers that destiny can be diverted, that one does not have to remain in bondage to the first wax imprint made on childhood sensibilities. Once the deforming mirror has been smashed, there is a possibility of wholeness. There is a possibility of joy.",Anais Nin
"I think that the best kind of change, is the change that comes from the inside and begins it's way out until it emerges on the outside; a change that is born underneath then continues and spreads until it has reached the surface. That's a true change. A powerful change. And I have found that while we are emerging, changing into something glorious; it is actually us becoming who we really are. A water lily is born underneath the water, inside the soil at the bottom of the river or lake. And the water lily has always been a water lily for that whole time that it was sprouting out of the wet soil, reaching up through the dark water towards the sunlight, stretching and grasping for the surface; where it then buds and blooms on the outside in the sunshine. It doesn't bud and bloom on the surface and then try to reach down below into the soil.",C. JoyBell C.
"A woman who writes has power, and a woman with power is feared.",Gloria E. Anzaldúa
Why must it be so hard,"For us to come to understand,"
IF YOU CHOKE YOUR POTENTIAL BEFORE IT HAS AN OPPORTUNITY TO BECOME A POSSIBILITY YOU WILL NEVER REACH YOUR DESTINY,Mo Stegall
"Do you really believe in destiny?"" ""How can I not believe in destiny, when there is no difference between my memories and my dreams at night? There's no difference between their reality. And if I dream something first, I remember it later when I am actually walking in the place or looking at the person I first dreamed of. Days later. Or years later. Destiny~ she walks with me.",C. JoyBell C.
"There is something simply beautiful and simply innocent, in being human. It is just so innocent and beautiful. I love it.",C. JoyBell C.
I enjoy growing older and wiser and learning from my mistakes every single day.,"Ellen DeGeneres, Seriously... I'm Kidding"
I think i should get love inked on my skin.,Maybe that's the only way i am destined to keep it.
I believe God spoke to you at cliffs. Her hand came to rest on the top of my head. But perhaps you weren't truly listening,"Jenny B. Jones, There You'll Find Me"
Soccer forces life to move on. There's always a new match. A new season. There's always a dream that everything can get better. It's a game of wonders.,"Fredrik Backman, Britt-Marie var här"
Maturity is when you stop complaining and making excuses in your life; you realize everything that happens in life is a result of the previous choice you've made and start making new choices to change your life.,Roy Bennett
"to be successful, you have to be out there, you have to hit the ground running","Richard Branson, Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way"
Deeply respecting yourself is the first step toward having a deep respect for others.,"Amy Leigh Mercree, The Spiritual Girl's Guide to Dating: Your Enlightened Path to Love, Sex, & Soul Mates"
"Whatever you are looking for is also looking for you. You see, don't only look. Be available and ready when it shows up",Sahndra Fon Dufe
"I'd rather be interesting, original, & unique then follow the pack. Revel in who you truly are & be liberated!",Amy Leigh Mercree
Being ready is everything.,"Caroline Gerardo, Toxic Assets"
People have boldness to criticize but not to sensitize.,Amit Kalantri
"At the end of the day, there are very few people around you who truly want to see you peaceful, happy and content. Most of your friends only want to see you happy, peaceful and content, in ratio to their own happiness, peace and contentment. It's like, ""Yeah, I want all your dreams to come true and I want to see you smile, but only for as much as I smile and only in proportion to how many of my own dreams come true."" That's what people today call, ""friendship"" and ""care"". It's not really friendship and it's not really care. Then there's like one or two people who would celebrate your own happiness and success even if it's out of proportion to their own. And that's a real blessing right there, that's a real friendship.",C. JoyBell C.
"It's good to see the snakes revealing themselves. They weren't actually hidden at all. People hide behind the masks, but eventually you see them for who they truly are.","Amaka Imani Nkosazana, Heart Crush"
The prettiest flowers earn their honor in the ugliest dirt.,Matshona Dhliwayo
"An act of kindness may take only a moment of our time, but when captured in the heart the memory lives forever.","Molly Friedenfeld, The Book of Simple Human Truths"
It is only after the deepest darkness that the greatest joy can come,Malcolm X
Hendaknya kita mengukur ilmu bukan dari tumpukan buku yang kita habiskan. Bukan dari tumpukan naskah yang kita hasilkan. Bukan juga dari penatnya mulut dalam diskusi tak putus yang kita jalani. Tapi…dari amal (action) yang keluar dari setiap desah nafas kita,Ibnul Qoyyim Al-Jauziyyah
"If stars needed the sky's permission to shine, the universe would be a very dark place.",Matshona Dhliwayo
I am powerful in my love for myself. The truth of my being is I love myself exactly as I am. I honor my empowered heart.,"Amy Leigh Mercree, The Spiritual Girl's Guide to Dating: Your Enlightened Path to Love, Sex, & Soul Mates"
"Create your best life with your consciously chosen thoughts, words, and actions.",Amy Leigh Mercree
Daily love and kindness are the path to a happy life.,Amy Leigh Mercree
"There are so many people whose minds do not belong to them. There are so many people whose thoughts have been purchased by people. There are so many people who have made people kings and queens of their thought. There are so many people who cannot sleep because of people. There are so many people whose lives are a small percentage of their own self and a greater percentage of others. When the offenses of people occupy your mind, your mind becomes the offenses of people instead of your own mind. To have your own mind and to be your own self, free your mind!",Ernest Agyemang Yeboah
Opportunity may knock only once but temptation leans on the door bell,"Oprah Winfrey, Oprah Winfrey Speaks: Insights from the World's Most Influential Voice"
"The more you can have control over your ego rather than let it run amuck, the more successful you'll be in all areas of life.",Roy T. Bennett
"Thus is the nature of love: that you must use it! A love unused is not love! If it is something that sits on the shelf that you don't know what to do with, it is not true to the nature of love! Use love!",C. JoyBell C.
"""What does it mean if you tried to get somewhere, and you didn't?"" ""Like what?"" ""Like if you were trying to get somewhere, but you couldn't find it?","Does that mean something bad?"" ""No. It doesn't mean something bad. It just means you have a second chance to do it. And two chances is always"
"If you follow the ancient maps written on the stars, no person will ever understand you. So if you could read these maps, would you follow them? And forever be misunderstood? Or would you close your eyes tightly and pretend to be like everyone else?",C. JoyBell C.
Just pick a goal and stick to it―no big complicated secret.,"Richelle Goodrich, Smile Anyway: Quotes, Verse, and Grumblings for Every Day of the Year"
"The most dangerous irony is, people are angry with others because of their own incompetence.","Amit Kalantri, Wealth of Words"
"We doubt in others, what is in fact in ourselves. The skeletons in your own closet are the things that scare you the most about others; people who come from a background of lying are suspicious of lying in others and so on and so forth. The most trusting of people, are not people who have never been betrayed or who have never felt pain; but the most trusting of people are those who in themselves do not find those things worthy of that blame. We see the world through the eyes of the condition of our own souls.",C. JoyBell C.
"A real decision is measured by the fact that you've taken a new action. If there's no action, you haven't truly decided.",Tony Robbins
"You push the TRUTH off a cliff, but it will always fly. You can submerge the TRUTH under water, but it will not drown. You can place the TRUTH in the fire, but it will survive. You can bury the TRUTH beneath the ground, but it will arise. TRUTH always prevails!","Amaka Imani Nkosazana, Heart Crush"
"Fear is an aid to the warrior. It is a small fire burning. It heats the muscles, making us stronger. Panic comes when the fire is out of control, consuming all courage and pride.","David Gemmell, Lord of the Silver Bow"
Veganism is an act of nonviolent defiance. It is our statement that we reject the notion that animals are things and that we regard sentient nonhumans as moral persons with the fundamental moral right not to be treated as the property or resources of humans.,GaryLFrancione
Ethical veganism represents a commitment to nonviolence.,GaryLFrancione
Taking personal accountability is a beautiful thing because it gives us complete control of our destinies.,"Heather Schuck, The Working Mom Manifesto"
You opinions about me does not change who I am.,"Lailah Gifty Akita, Think Great: Be Great!"
Listen with curiosity. Speak with honesty. Act with integrity.,Roy Bennett
Life is a mystery to be lived not a problem to be solved,Clive Ollies
"Knowledge is like an endless resource; a well of water that satisfies the innate thirst of the growing human soul. Therefore never stop learning... because the day you do, you will also stop maturing.",Chidi Okonkwo
"Here is a universal law: that when it comes to negative and positive, you will always thrive more powerfully in the positive if you have first been immersed in, and have heroically overcome, the polar opposite negative of that thing. To abide in the positive existence of something, without having known and overcome it's polar opposite— that is to be only a frame of the real structure. Easily toppled down and taken apart. True power is in the hands of the one who thrives in the positive, after having known and conquered the negative. Because when the demons come along, she will say to those demons: I know you, I have owned you, but now you bow down to me.",C. JoyBell C.
"We can give our children only two things in life which are essential. Strong roots and powerful wings. Then they may fly anywhere and live independently. Of all the luxuries in life, the greatest luxury is getting freedom of the right kind.",Sudha Murty
"Generosity is to help a deserving person without his request, and if you help him after his","request, then it is either out of self-respect or to avoid rebuke."
"The knowledge of secrets is a very enticing ship, a very tempting voyage, and one thinks that the highest attainment in life is to find out hidden truths, to seek out what is truth, to know what are all lies; to uncover, to discover and to rediscover, to dig up, to expose, to reveal... But secrets can go on forever, for an eternity! For as vast as the universe is, so are the secrets therein! And one can lose, because of that thought that in the secrets, everything is to be gained! But I can see, that all the knowledge of hidden things, all the knowledge in the universe, is not nearly as valuable and as worthy as the innocence of one's soul. And we are not directed unto good things through our ability to scavenge or to hunt or to decipher or to sail! Or to fly! But we are directed unto good things, through sovereign providence! He is more worthy- the innocent soul who has a simple faith in what he believes in- than the one who has found out all the dark secrets about what the other man has put his faith in! And it is far more profitable for a man to be healthy, to have a long, long life, loved ones that are blessed with these blessings all the same, much love and happiness and safety! It is far more profitable for a man to be able to remain innocent and have love and be healthy and to be able to watch his loved ones in good health and in good love, than for a man to uncover all the secrets of the universe! A single love, a single faith, a single trust, and one hope- these are far, far better things to aspire to have! And this– this is the biggest secret!",C. JoyBell C.
"Into the silence rips a sound that makes me let go of Max's hand and cover my ears. It is like the strafe of a bullet, nails on a chalkboard, promises being broken. It's a note I have never heard - this chord of pure pain - and it takes a moment to realize it is coming from me.","Jodi Picoult, Sing You Home"
no man is free until he s a master of himself!!,epictitus
I never trust frank and simple people whose stories hold together.,Ernest Hemingway
Every day in every way we are leaving our mark.,Rachael Bermingham
Change your attitude and you change your life.,"You cannot control what happens to you in your life, but you can always control how you respond to it. The way you choose to respond is a reflection of your attitude. By changing your attitude, you also change your perspective and change your life."
"Each moment, each person, is sacred and worthy of respect- especially you.","Amy Leigh Mercree, The Spiritual Girl's Guide to Dating: Your Enlightened Path to Love, Sex, & Soul Mates"
All publicity is good publicity.,Pierre Choderlos de Laclos
"Who we are is who we ACTUALLY are. It's never who we create in order for people to see. You might really hate who you actually are, so then you create a sub-genus type of yourself for other people to see. But that never changes who you are. The sub-genus type won't change your genus. The only way we change who we are is by looking at ourselves in the mirror long enough to make us vomit over our disgusting waywardness and long enough to fall in love with our strengths. But you can't just fall in love with your strengths. You also need to vomit over your hypocrisies and all of your other bullshit. And you can't just vomit, either. You also have to clean it up and embrace yourself afterwards. This is how you change your genus.",C. JoyBell C.
"Yesterday I was sad, today I am happy! Yesterday I had a problem, today I still have the same problem! But today I changed the way I look at it!",C. JoyBell C.
"The most adventurous journey to embark on; is the journey to yourself, the most exciting thing to discover; is who you really are, the most treasured pieces that you can find; are all the pieces of you, the most special portrait you can recognize; is the portrait of your soul.",C. JoyBell C.
"I feel like, God expects me to be human. I feel like, God likes me just the way I am: broken and empty and bruised. I feel like, God doesn't look at me and wish that I were something else, because He likes me just this way. I feel like, God doesn't want me to close my eyes and pray for Him to make me holy or for Him to make me pure; because He made me human. I feel like, God already knows I'm human...it is I who needs to learn that.",C. JoyBell C.
"At the end of the day, it's not about what you have or even what you've accomplished. It's about what you've done with those accomplishments. Its about who you've lifted up, who you've made better. It about what you've given back"" (23).","Denzel Washington, A Hand to Guide Me"
The greatest win is walking away and choosing not to engage in drama and toxic energy at all.,Lalah Delia
"It's like I am inside this ethereal sphere wherein exists no logic, no reasoning, no typicality, no explanations, no realism, no comparisons, nothing ordinary, and no normalcy. And then if you are to understand me, you have to step into my realm and leave all of those things behind. I'm not typical. I'm not ordinary. And I'm not normal. And I never will be . So I don't see the point of waking up in the morning and wishing to be so.",C. JoyBell C.
"Such is my relationship with God: on my gigantic canvass of life, I am the one throwing all of the brightly-colored paints, creating genuine splatters, authentic whirlpools of color, beautiful patterns, wonderful streaks and stains and wild accents; God is the one with the paintbrush who stands beside my canvass filling all the intricate and amazing details in between the whirlpools and the streaks! We're happy together!",C. JoyBell C.
"A lot of pieces I have written have to do with courage. As a result, people think that I am naturally brave. But what people don't know, is that I grew up with phobias and many fears. I was scared of everything. So, I write of courage not because I have not known fear, but I write of courage because I have walked with fear but I have made the choice not to fear it.",C. JoyBell C.
Prolong not the past,Invite not the future
Obey God and leave all the consequences to Him.,Charles Stanley
As the earth dies your spirit will bloom; as the world fades your soul will rise and glisten. Amongst the dehydrated crevices of a desert earth you will stumble upon your diamonds; in between the dry skulls and cracked bones you will find your sapphires.,C. JoyBell C.
"God and Destiny are not against us, rather they are for us, they are the ones who never forget the things we have long forgotten, the ones who hear the desires of our heart that our own heads can't hear, and they are the ones who never forget who we really are, long after our minds have forgotten the images of who we are. We come from God and we belong to Destiny, yet for some reason of ignorance we think that to be the master of our own fates and the captain of our own souls means to write everything down on a paper and plan everything out on a grid! Such great things to be done, and we think they are accomplished by our primitive ways! No. We must only know what we want. And want what we want. And then fly high enough to see all that which we want that we couldn't yet see.",C. JoyBell C.
"Some people say they will not believe in anything they can't see. What a catastrophe to not have any faith at all! You live only less than a half of life, if you will only believe in the things that you can see. Life is lived by those who have much faith and believe in many unseen things. If you believe in nothing that you cannot see, think about how much there is that you choose to turn your face away from! You can't see your soul and you cannot prove that it exists, therefore if you call yourself one who believes in nothing unseen, then you will forever deny your soul its existence, for the existence of the soul dwells in love, trust, anger, passion, faith, belief, strength; the soul is forever nourished by things that are unseen! And so we have too many empty bodies walking around! Bodies with souls inside that are half-dead and dying.",C. JoyBell C.
"If you wait for a cake to be given to you so you will be happy- then you will be happy when someone gives you a cake. But if you buy a cake (or bake one) for yourself so you will be happy, you have found the way of happiness.",C. JoyBell C.
Success seems to be largely a matter,of hanging on after others have let go.
You can't substitute material things for love or for gentleness or for tenderness or for a sense of comradeship,"Mitch Albom, Tuesdays with Morrie"
"I think that fame removes true happiness. Because when you are famous, people know you for who they think you are and when you are happy, it's because people have met you and see you for who you really are. Of course, if you are not a great person, it's better to be famous. But if you have greatness, it's better to not be famous.",C. JoyBell C.
"Just go with it', he thought. 'You won't figure out anything if you give in to fear'.",James Dashner
"Seeing a miracle will inspire you, but knowing you are a miracle will change you.",Deborah Brodie
"Cheat your landlord if you can and must, but do not try to shortchange the Muse. It cannot be done. You can't fake quality any more than you can fake a good meal.",William S. Burroughs
Don't believe what your eyes are telling you. All they show is limitation. Look with your understanding.,Richard Bach
"Repotting a plant gives it space to grow. Repotting ourselves means taking leave of our everyday environments and walking into unfamiliar territory—of the heart, of the mind and of the spirit. It isn't easy. The older we get, the more likely we are to have remained in the same place for some time. We stay because it's secure. We know the boundaries and, inside of them, we feel safe. Our roots cling to the walls we have long known. But remaining inside can keep us from thriving. Indeed, without new experiences or ideas, we slowly grow more and more tightly bound, eventually turning into less vibrant versions of who we might have been.","Repotting means accepting that the way is forward, not back. It means realizing that we won't again fit into our old shells. But that's not failure. That's living."
Best friends are treasures. Hug them for their caring. Applaud their accomplishments. Laugh with them gratefully.,Amy Leigh Mercree
"Stay strong, stay positive, and never give up.",Roy Bennett
What's done is done. What's gone is gone. One of life's lessons is always moving on. It's okay to look back to see how far you've come but keep moving forward.,Roy Bennett
Darkness will always be a servant of light.,Matshona Dhliwayo
All things are possible if you believe...,Candace Bowen Early
"It is not courage that makes us speak the truth, but it is a hunger for truth that makes us courageous","Agona Apell, The Success Genome Unravelled: Turning Men from Rot to Rock"
"Of course the dust is building up unseen, but you learn to repress this for as long as it goes unnoticed by guests. And then one day someone moves a piece of furniture without your say-so, and everything comes into plain view. Dirt and scratch marks. Permanent damage to the parquet floor. By then it's too late.","Fredrik Backman, Britt-Marie var här"
"Selalu ada saat ketika kita tidak sempat bertanya kepada sepasang kaki sendiri kenapa tidak mau berhenti sejak mengawali pengembaraan agar kita bisa memandang sekeliling dan bertahan semampu kita untuk tidak melepaskan air mata menjelma sungai tempat berlayar tukang perahu yang mungkin saja bisa memberi tahu kita, Ke san, Saudara, ke sana.","Sapardi Djoko Damono, Pingkan Melipat Jarak"
"My life came to a standstill. I could breathe, eat, drink and sleep, and I could not help doing these things; but there was no life, for there were no wishes the fulfilment of which I could consider reasonable. If I desired anything, I knew in advance that whether I satisfied my desire or not, nothing would come of it. Had a fairy come and offered to fulfil my desires I should not have known what to ask. If in moments of intoxication I felt something which, though not a wish, was a habit left by former wishes, in sober moments I knew this to be a delusion and that there was really nothing to wish for. I could not even wish to know the truth, for I guess of what it consisted. The truth was that life is meaningless.",Leo Tolstoy
"Peace is not a result inside us from everything around us. Peace is not submissive nor passive. On the contrary, peace is an overwhelming force which comes from within us, disrespectful of everything around us, a firm coalition of spirit and soul standing against all the unrest that abounds.",C. JoyBell C.
Our fingerprints don't fade from the lives we've touched.,"Will Fetters, Memoirs"
To buy a cake... to howl at the moon... to know true happiness... I am happy.,C. JoyBell C.
"To forgive is the highest, most beautiful form of love. In return, you will receive untold peace and happiness",Robert Muller
"A rose does not answer its enemies with words, but with beauty.",Matshona Dhliwayo
A good idea always attracts other good ideas.,Patrick Ness
Be uniquely you. Stand out. Shine. Be colorful. The world needs your prismatic soul!,Amy Leigh Mercree
Don't make yourself small.,Not for anyone.
"Once your soul is awakened, you never return to the sleepwalking state of mind. Some people become complacent in life. They are just going through the motions and not aware of truth. Seek the knowledge, wisdom, and the understandings that vivify your existence.","Amaka Imani Nkosazana, Heart Crush"
"Oh, monsters are scared', said Lettie. 'And as for grown-ups...' She stopped talking, rubbed her freckled nose with a finger. Then, 'I'm going to tell you something important. Grown-ups don't look like grown-ups on the inside either. Outside, they're big and thoughtless and they always know what they're doing. Inside, they look just like they always have. Like they did when they were your age. The truth is, there aren't any grown-ups. Not one, in the whole wide world.'",...
Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,Roy Bennett
"If everyone could be a successful and rich author, there would be no point in working so hard. Where is the fun in that?",L.A. Jones
we are not leaving anyone behind we have to stick togheter in order to stay safe.,"Frewin Jones, The Lost Queen"
~ Faith lightens the path your shadowed mind has to walk ~,"Michelle Horst, Visions and Shadows"
"Faith keeps our ships moving, while empathy and the memories of our experiences lead to wisdom.","Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem"
"Flowers that are offered for the dead, do not know the difference of where their beauty will be placed, they do not say, ""This is not a palace"" or ""This is not a garden""; they just are. They are just beautiful, without giving regards to whether they are placed on a grave or in a castle. Flowers are just beautiful, whether they grow by the wayside or in a manicured garden. If we were all like flowers, then we would all be beautiful, with no regards to why or how. We just are. We are just beautiful.",C. JoyBell C.
"Where are they written?""","""In the world around us. Merely be attentive to what happens in your life, and you will discover where, every moment of the day, He hides His words and His will. Seek to do as He asks: this alone is the reason you are in the world."""
Write the book you want to read,Austin Kleon
"The more you feed your mind with positive thoughts, the more you can attract great things into your life.",Roy Bennett
"Never stop acquiring the commonsense, it is as good as the knowledge.",Amit Kalantri
"Remember diamonds are created under pressure so hold on, it will be your time to shine soon.",Sope Agbelusi
I am the best person in the universe.,Kendrick Nguyen
"God used my year of waiting not to frustrate me, or abandon me, but to draw me into a closer relationship with Him.","Suzanne Elizabeth Anderson, Waiting with God"
"A seed neither fears light nor darkness, but uses both to grow.",Matshona Dhliwayo
"When God throws something your way, catch it!",Chriscinthia Blount
"when you have no spirit to seize the day, find it behind the music, between the flowing leaves, beneath the sun rays, and just within yourself. Talk to yourself, be the best friend for yourself, and do not hesitate to ask God help",Maria Magdalena
"Apa yang tersimpan dalam dada, tak mampu dijangkau oleh mata. Karenanya lisan menjadi penanda, wajar orang menilai lewat kata.",Felix Y. Siauw
"When there is nothing left to give somone in need, we give them what we do have. We give them Divine Love, faith, and friendship. This is always enough to see anyone through anything. This, my friends, is how we save the world. (pg.99 of A Journey In to Divine Love)","C.Michelle Gonzalez, A Journey in to Divine Love: Live, Laugh, Love, Meditate"
"You fall because you are human, and rise because you are divine.",Matshona Dhliwayo
"I know from the bottom of my heart and with all of it, that it doesn't matter if at the end of your life you can say that you shared the best of yourself with the rest of the world and it doesn't matter if everyone in the world remembers you as wonderful; but what matters is if at the end of your life you can say that you shared the best of yourself with the handful of people who are around you, that you gave the wonderful in you, to the people you love and who love you. Happiness never has and never will come from fame.",C. JoyBell C.
"No writing is wasted. Did you know that sourdough from San Francisco is leavened partly by a bacteria called lactobacillus sanfrancisensis? It is native to the soil there, and does not do well elsewhere. But any kitchen can become an ecosystem. If you bake a lot, your kitchen will become a happy home to wild yeasts, and all your bread will taste better. Even a failed loaf is not wasted. Likewise, cheese makers wash the dairy floor with whey. Tomato gardeners compost with rotten tomatoes. No writing is wasted: the words you can't put in your book can wash the floor, live in the soil, lurk around in the air. They will make the next words better.",Erin Bow
"When angels visit us, we do not hear the rustle of wings, nor feel the feathery touch of the breast of a dove; but we know their presence by the love they create in our hearts.","Mary Baker Eddy, Poems by Mary Baker Eddy"
One of the most beneficial and valuable gifts we can give to ourselves in this life: is allowing ourselves to be surprised! It is okay if life surprises you. Its a good thing!,C. JoyBell C.
